Agent_ID,Group,Months_Experience,Resolutions_Per_Hour,Skill_Quintile
0,AI_Assisted,12,3.3196067851009743,4
1,Control,10,1.9432148229004267,3
2,Control,5,1.9095119684820805,4
3,Control,51,3.5764699688551334,5
4,Control,11,1.6480303677592896,3
5,AI_Assisted,3,1.032805173786427,3
6,AI_Assisted,1,2.9091038875373587,5
7,AI_Assisted,1,2.710694280081361,4
8,Control,3,0.5746075772637447,2
9,Control,2,1.5068326553762512,4
10,AI_Assisted,2,2.173337888538516,2
11,Control,4,2.4339084760731913,2
12,Control,2,1.768743534320424,3
13,AI_Assisted,27,2.080377979633112,1
14,AI_Assisted,1,0.8606183184739524,1
15,AI_Assisted,8,2.8245758601251856,2
16,AI_Assisted,6,1.945803304240441,1
17,Control,48,2.5941749828817864,4
18,Control,1,0.8301494255905595,1
19,AI_Assisted,6,1.3984947109533459,1
20,Control,41,3.4769603581720423,5
21,AI_Assisted,24,3.757392747078369,3
22,AI_Assisted,20,3.316711034172071,3
23,Control,3,0.9412022504907128,1
24,AI_Assisted,2,1.749316752317475,2
25,Control,13,1.6858079032223738,3
26,Control,31,2.364041483267603,1
27,Control,9,2.2777481675653335,4
28,Control,10,1.7866467987236956,2
29,AI_Assisted,3,3.4703799850143486,2
30,Control,17,2.1747965603900417,2
31,AI_Assisted,2,2.6964514594876636,5
32,AI_Assisted,4,2.279271268455079,3
33,AI_Assisted,6,2.5741440310132258,1
34,AI_Assisted,8,3.244225703375934,5
35,Control,3,0.5687847281354982,1
36,Control,1,1.9493822435564372,3
37,AI_Assisted,11,1.4755178345956406,1
38,AI_Assisted,4,2.53036834531583,1
39,Control,10,2.6896079533397694,3
40,AI_Assisted,2,2.374847199610569,4
41,Control,7,2.6298673019609646,3
42,AI_Assisted,9,2.778405766217346,3
43,Control,0,1.3905576222542435,2
44,AI_Assisted,4,1.812448072874574,1
45,AI_Assisted,1,1.2291469385668843,2
46,Control,0,0.7122606815931214,2
47,AI_Assisted,55,4.575920638223943,5
48,AI_Assisted,4,2.4652849553362928,4
49,Control,19,1.3553134464434307,1
50,AI_Assisted,3,2.1745406665511324,4
51,Control,13,2.232521417875329,2
52,Control,17,2.8426976707027443,2
53,AI_Assisted,10,2.761076165670088,4
54,AI_Assisted,7,3.146802194656191,5
55,AI_Assisted,6,3.6958644795204414,5
56,AI_Assisted,5,2.0504280288805115,1
57,AI_Assisted,31,3.479367224961457,2
58,AI_Assisted,21,2.938674026453349,4
59,AI_Assisted,40,4.117920065982373,5
60,Control,1,1.1628140472995137,2
61,AI_Assisted,15,3.2584603244156964,3
62,Control,33,2.532331143469351,1
63,AI_Assisted,2,2.4841898261989455,1
64,AI_Assisted,0,2.2101971056828775,5
65,Control,16,3.141723878540765,5
66,AI_Assisted,10,2.8606524097086274,3
67,AI_Assisted,22,3.432781079131568,5
68,Control,1,1.7934704221324715,4
69,AI_Assisted,19,2.8269668439956543,2
70,AI_Assisted,2,2.3880145314186345,4
71,AI_Assisted,2,3.513220809547355,5
72,Control,2,1.2189148698004117,3
73,AI_Assisted,20,4.255264702518184,5
74,AI_Assisted,13,1.8609280902137728,1
75,AI_Assisted,8,3.2270873722200357,5
76,AI_Assisted,5,1.649055596865515,3
77,Control,25,2.110606145137886,2
78,Control,5,2.4813819945834172,3
79,AI_Assisted,20,2.2899104853883956,1
80,AI_Assisted,6,2.201489790600313,3
81,Control,5,1.8933501049558081,4
82,Control,7,3.1069716496445134,5
83,AI_Assisted,4,2.4391593257292623,2
84,Control,16,1.8334656965080147,2
85,AI_Assisted,8,2.373462446727819,2
86,Control,3,2.0555155436814645,5
87,Control,27,2.3282932851005227,4
88,Control,5,2.297973961595479,2
89,Control,9,2.2487395660697604,4
90,AI_Assisted,28,3.7671871833504507,3
91,Control,11,3.286811575950625,5
92,Control,1,1.5255566845444861,2
93,AI_Assisted,33,3.043682968962796,2
94,Control,11,2.159400619483765,2
95,Control,4,1.1023394483512143,1
96,AI_Assisted,1,1.7976533365154284,4
97,Control,18,2.6380469404451623,4
98,AI_Assisted,11,2.3689686886397836,3
99,AI_Assisted,9,3.236670571269083,3
100,AI_Assisted,26,2.352306563467635,1
101,AI_Assisted,18,3.01371450829912,2
102,Control,1,1.4192167625790504,2
103,AI_Assisted,4,1.852059854098161,2
104,Control,3,1.9085524092050614,3
105,Control,16,2.345349303380746,4
106,Control,0,2.4916118695881626,5
107,Control,10,1.7080551434365683,3
108,Control,17,2.535475730338413,4
109,Control,25,3.241587256948823,3
110,Control,5,0.5571856501994713,1
111,Control,20,2.13345404915482,3
112,Control,1,1.7129371170580574,3
113,Control,22,3.7576514553901426,5
114,AI_Assisted,1,1.9997529133349676,3
115,AI_Assisted,6,2.936847220545356,4
116,AI_Assisted,19,3.4272379100994392,3
117,Control,1,1.3367997901967013,1
118,AI_Assisted,3,3.025564542828284,5
119,AI_Assisted,15,3.2955285467504987,4
120,AI_Assisted,15,3.624771189320129,4
121,Control,12,2.5312387895453314,1
122,Control,14,2.931563737355904,5
123,Control,9,1.0302967839332213,1
124,Control,3,2.4907785590628806,4
125,AI_Assisted,5,3.357893695229767,5
126,AI_Assisted,2,0.71013396916567,1
127,AI_Assisted,28,3.5245524131184074,2
128,AI_Assisted,10,2.6753684459382923,3
129,Control,6,1.6904129196423612,2
130,Control,7,1.389237033366474,1
131,Control,35,2.7438889346970847,3
132,AI_Assisted,1,1.5903361047415847,1
133,Control,10,2.221759776209002,4
134,Control,8,1.8244200330880194,1
135,AI_Assisted,11,3.461276718843915,5
136,AI_Assisted,0,1.4409532437605717,2
137,Control,24,2.5726665654496634,2
138,Control,32,2.631186152453589,5
139,Control,9,1.9399947254506535,1
140,Control,14,2.1825646696973293,3
141,Control,30,3.550389378247731,5
142,Control,14,1.6263933885208064,1
143,AI_Assisted,1,2.8994392504483386,3
144,AI_Assisted,10,2.856540283221702,4
145,AI_Assisted,11,3.024558910931638,4
146,Control,6,1.3521208618279912,1
147,AI_Assisted,16,2.472658161162594,1
148,Control,32,3.1795505681718605,4
149,Control,31,2.088262454361849,4
150,AI_Assisted,7,2.5029906317582293,4
151,Control,1,1.2233618083407887,4
152,Control,50,2.8128409290899157,2
153,AI_Assisted,21,4.145695388186549,3
154,AI_Assisted,1,2.0523579110585133,4
155,AI_Assisted,30,2.987613018879118,2
156,Control,24,3.4484584507649307,5
157,AI_Assisted,8,3.3752157442127375,4
158,AI_Assisted,10,1.8162755950889466,1
159,Control,6,2.401988457032954,4
160,AI_Assisted,0,1.3947055021521257,1
161,AI_Assisted,4,2.9731976367281128,4
162,AI_Assisted,19,3.7477773832905044,5
163,Control,0,1.1900772778510011,2
164,Control,4,1.244170312396106,5
165,Control,6,2.4559046509027374,4
166,Control,9,2.270433843943894,5
167,AI_Assisted,30,3.3941768750874397,5
168,Control,5,1.998490769499779,2
169,Control,5,2.08929912357766,2
170,AI_Assisted,16,2.7177155951267324,1
171,AI_Assisted,7,2.6730880633294722,2
172,AI_Assisted,3,2.891019932789639,3
173,Control,7,2.728318385513875,4
174,Control,1,2.2715900836375447,4
175,Control,2,2.349887536414013,5
176,AI_Assisted,8,2.8293001905238344,3
177,AI_Assisted,6,2.5627333380200383,5
178,Control,29,2.3297255407939046,2
179,AI_Assisted,5,3.209000404848854,5
180,AI_Assisted,10,4.007570666889372,4
181,AI_Assisted,12,2.3783309952208405,1
182,Control,0,0.7138356736832381,1
183,AI_Assisted,13,3.5171637910633646,4
184,AI_Assisted,2,2.129325219731056,3
185,Control,38,3.7004453216702053,4
186,Control,1,1.4648179398169698,4
187,AI_Assisted,6,2.6441542359263353,3
188,AI_Assisted,1,1.2265769346793793,1
189,Control,60,1.5589169288381097,1
190,Control,8,1.6109247185388633,2
191,AI_Assisted,10,3.2540348801525023,5
192,AI_Assisted,0,1.5452955578645309,3
193,AI_Assisted,16,2.148215621490568,1
194,AI_Assisted,2,1.707842855928891,3
195,Control,27,2.6922982648830223,4
196,AI_Assisted,2,1.1093403895956646,1
197,AI_Assisted,2,2.6086587418658445,3
198,Control,0,1.2620802603968013,3
199,AI_Assisted,7,1.4121473758579572,1
200,Control,9,2.1762440865518147,4
201,AI_Assisted,0,1.6126509391642123,4
202,AI_Assisted,17,3.6292441421296315,5
203,Control,7,3.094857821098644,5
204,Control,8,0.6399861590976444,1
205,AI_Assisted,6,2.319529960440353,1
206,AI_Assisted,6,2.802629074921917,4
207,AI_Assisted,9,3.3743045289580316,4
208,Control,2,1.9822474099153435,4
209,AI_Assisted,2,3.2650229280990772,5
210,Control,23,2.629045213219115,4
211,Control,35,2.8827800527513476,5
212,AI_Assisted,5,3.4266651487567716,5
213,Control,3,2.0887380295696323,4
214,AI_Assisted,12,3.5092482585247238,2
215,AI_Assisted,6,3.0117587532259007,4
216,AI_Assisted,0,0.842949753746056,2
217,AI_Assisted,2,1.401897662396009,2
218,AI_Assisted,15,2.143939388955127,2
219,Control,12,1.6332624354755798,3
