S_CITY,E_CITY,COUPON,NEW,VACATION,SW,HI,S_INCOME,E_INCOME,S_POP,E_POP,SLOT,GATE,DISTANCE,PAX,FARE
Dallas/Fort Worth   TX,Amarillo            TX,1.0,3,No,Yes,5291.990234375,28637,21112,3036732,205711,Free,Free,312,7864,64.11000061035156
Atlanta             GA,Baltimore/Wash Intl MD,1.059999942779541,3,No,No,5419.16015625,26993,29838,3532657,7145897,Free,Free,576,8820,174.47000122070312
Boston              MA,Baltimore/Wash Intl MD,1.059999942779541,3,No,No,9185.2802734375,30124,29838,5787293,7145897,Free,Free,364,6452,207.75999450683594
Chicago             IL,Baltimore/Wash Intl MD,1.059999942779541,3,No,Yes,2657.35009765625,29260,29838,7830332,7145897,Controlled,Free,612,25144,85.47000122070312
Chicago             IL,Baltimore/Wash Intl MD,1.059999942779541,3,No,Yes,2657.35009765625,29260,29838,7830332,7145897,Free,Free,612,25144,85.47000122070312
Cleveland           OH,Baltimore/Wash Intl MD,1.0099999904632568,3,No,Yes,3408.110107421875,26046,29838,2230955,7145897,Free,Free,309,13386,56.7599983215332
Dallas/Fort Worth   TX,Baltimore/Wash Intl MD,1.2799999713897705,3,No,No,6754.47998046875,28637,29838,3036732,7145897,Free,Free,1220,4625,228.0
Fort Lauderdale     FL,Baltimore/Wash Intl MD,1.149999976158142,3,Yes,Yes,5584.0,26752,29838,1440377,7145897,Free,Free,921,5512,116.54000091552734
Houston             TX,Baltimore/Wash Intl MD,1.3300000429153442,3,No,Yes,4662.43994140625,27211,29838,3770125,7145897,Free,Free,1249,7811,172.6300048828125
Kansas City         MO,Baltimore/Wash Intl MD,1.600000023841858,2,No,Yes,2617.0,25450,29838,1694803,7145897,Free,Free,964,4657,114.76000213623047
Las Vegas           NV,Baltimore/Wash Intl MD,1.5700000524520874,3,Yes,Yes,1772.5899658203125,24575,29838,1197234,7145897,Free,Free,2104,4489,158.1999969482422
Los Angeles         CA,Baltimore/Wash Intl MD,1.5,1,No,Yes,3932.2900390625,24706,29838,9056076,7145897,Free,Free,2329,7349,228.99000549316406
Nashville           TN,Baltimore/Wash Intl MD,1.1200000047683716,3,No,Yes,4471.6201171875,25995,29838,1115048,7145897,Free,Free,587,5654,79.16999816894531
New Orleans         LA,Baltimore/Wash Intl MD,1.2899999618530273,3,No,Yes,4356.1201171875,22038,29838,1308499,7145897,Free,Free,992,3525,132.0500030517578
New York/Newark     NY,Baltimore/Wash Intl MD,1.0,3,No,No,2626.89990234375,32991,29838,8621121,7145897,Controlled,Free,181,7171,117.2300033569336
New York/Newark     NY,Baltimore/Wash Intl MD,1.0,3,No,No,2626.89990234375,32991,29838,8621121,7145897,Controlled,Free,181,7171,117.2300033569336
New York/Newark     NY,Baltimore/Wash Intl MD,1.0,3,No,No,2626.89990234375,32991,29838,8621121,7145897,Free,Constrained,181,7171,117.2300033569336
Orlando             FL,Baltimore/Wash Intl MD,1.1299999952316284,3,Yes,Yes,5706.759765625,22360,29838,1421287,7145897,Free,Free,788,11013,106.11000061035156
Phoenix             AZ,Baltimore/Wash Intl MD,1.8600000143051147,3,No,Yes,1230.47998046875,23025,29838,2753373,7145897,Free,Free,2001,4408,181.16000366210938
Salt Lake City      UT,Baltimore/Wash Intl MD,1.9299999475479126,3,No,Yes,2000.6700439453125,21121,29838,1228816,7145897,Free,Free,1866,2767,157.5
San Diego           CA,Baltimore/Wash Intl MD,1.8700000047683716,3,No,Yes,1572.9300537109375,23903,29838,2673620,7145897,Free,Free,2290,3170,200.1999969482422
San Francisco       CA,Baltimore/Wash Intl MD,1.5199999809265137,3,No,No,2967.590087890625,38813,29838,1653017,7145897,Free,Free,2454,6417,246.85000610351562
St Louis            MO,Baltimore/Wash Intl MD,1.1399999856948853,3,No,Yes,4191.240234375,25824,29838,2549844,7145897,Free,Free,729,10264,99.69999694824219
Tampa               FL,Baltimore/Wash Intl MD,1.1299999952316284,3,Yes,Yes,5201.33984375,23654,29838,2195215,7145897,Free,Free,846,7082,106.7699966430664
Chicago             IL,Birmingham          AL,1.159999966621399,3,No,Yes,3627.4599609375,29260,23858,7830332,895414,Controlled,Free,576,4138,113.5
Chicago             IL,Birmingham          AL,1.159999966621399,3,No,Yes,3627.4599609375,29260,23858,7830332,895414,Free,Free,576,4138,113.5
