,Course Number,Course Title,Course Description,Terms,Units,Instructors
0,ACCT 210:,Financial Accounting,"Financial accounting is the measurement of economic activity for decision-making. Financial statements are a key product of this measurement process and an important component of firms' financial reporting activities. The objective of this course is not to train you to become an accountant but rather to help you develop into an informed user of financial statement information. While financial statement users face a wide variety of decisions, they are often interested in understanding the implications of financial statement information for the future cash flows and earnings potential of a firm. We will focus on understanding the mapping between underlying economic events and financial statements, and on understanding how this mapping affects inferences about future profitability and liquidity. The following learning objectives will be emphasized: (1) familiarity with the transactions businesses engage in, (2) fluency in accounting terminology, (3) understanding the structure that maps transactions into accounting numbers, (4) understanding the rationale for various accounting methods, and (5) awareness of the judgment involved and the discretion allowed in choosing accounting methods, making estimates, and disclosing information in financial statements.",Aut,3,"; Kim, J. (PI); deHaan, E. (PI); Oseguera, J. (GP); Rice, R. (GP)"
1,ACCT 212:,Managerial Accounting: Strategic Performance Management,This course provides an introduction to the concepts and tools of managerial accounting. The first part of the course covers alternative costing methods and illustrates how the resulting cost information can be used to analyze the profitability of individual products and customers. The second part of the course will examine the role of internal accounting systems in evaluating the performance of individual business segments and divisions of the firm. Included in this part are topics related to the choice of internal pricing methods for transferring goods and services across divisions of the firm and the use of financial metrics for assessing the profitability of these divisions.,Spr,2,"; Kepler, J. (PI); Long, M. (GP)"
2,ACCT 213:,Financial Accounting - Accelerated,"This course develops students' ability to read, understand  and critically evaluate corporate financial statements. The course is oriented toward the user of financial accounting data (rather than the preparer) and it emphasizes the reconstruction and interpretation of economic events from published accounting reports. The course is geared toward students who already have had some exposure to basic financial accounting concepts, allowing for more depth and breadth of topic coverage and discussion in class.",Aut,3,"; Kasznik, R. (PI); Rivera, S. (GP)"
3,ACCT 219:,MSx: Accounting,"A characteristic of business is the extensive use of accounting data. The financial accounting course has the general objective of developing students' understanding of the nature, scope, and limitations of accounting information. To achieve this objective the course attempts to: (1) develop students' understanding of the conceptual accounting framework, including the objectives of financial reporting, and (2) develop students' ability to understand and critically evaluate the financial disclosures made by corporations. An issue of particular interest will be the managerial incentive aspects of accounting information and disclosures.",Last offered: Summer 2024,3,
4,ACCT 220:,Compensating Talent: A Managerial Accounting Perspective,"Designing efficient compensation schemes is essential for attracting, retaining, and motivating talent over time. Through cases, homework assignments, and classroom discussion, this course provides an overview of efficient compensation schemes across industries, corporate structures  and functions. We discuss the economic trade-offs (and best practices) behind the compensation schemes used to reward talent across industries, including CEOs, hedge fund managers, venture capitalists, consulting partners, entertainers, and professional athletes. The learning objectives are: (1) to understand the overall structure and individual components of compensation schemes and the incentive role that each component plays, (2) to discuss the pros and cons of alternative performance measurement systems and 3) to help you design an optimal compensation scheme based on the relevant economic environment. This course combines lectures and discussions with industry specialists.",Spr,3,"; Marinovic, I. (PI); Smeton, K. (GP)"
5,ACCT 311:,Global Financial Reporting,"This course is designed to enhance students' understanding of current financial reporting issues through a detailed analysis and comparison of U.S. GAAP and International Financial Reporting Standards. The course will cover the development of accounting standards, implementation of these standards, and how to interpret output from these standards. The course highlights intermediate and advanced financial reporting topics including fair value accounting, consolidation including variable interest entities, foreign currency translation, derivatives and hedging, leases, revenue recognition, pensions, and equity compensation. The course also focuses on evaluating emerging financial reporting issues such as proposed financial reporting standards put forth by U.S. or international standard setting bodies. This course should help students better understand the environment governing global financial reporting and how firms develop financial statement information within this environment.",Aut,3,"; Gipper, B. (PI); Rivera, S. (GP)"
6,ACCT 313:,Financial Statement Analysis,"This course is designed to develop students' ability to interpret and use financial accounting information across various economic decision contexts. The perspective taken is that of an outsider relying on publicly-available financial information for investment, credit, and strategic decision-making purposes. The course relies heavily upon financial statement analysis tools and the economic profit-based valuation framework. Through lectures, in-depth case studies, and real-time exercises, the first half of the course covers traditional financial statement analysis-based tools for critically analyzing and assessing a firm's current financial performance and economic condition, including ratio analysis, accounting quality analysis, and financial distress / bankruptcy prediction models. The second half of the course introduces an accounting-based valuation framework and develops the link between financial statement analysis, firm performance, and firm value. The capstone to the course is the completion of a comprehensive, real-time analysis and valuation of a publicly traded firm (or registered IPO candidate). The course is structured for students to gain a deeper understanding of the economic pressures behind the valuation creation and valuation process. The course will be useful to those students who anticipate making investment or credit decisions at least partially based on historical and prospective financial statement information, and those who want to have a better understanding of how to use financial information to assess whether and how any organization is creating value through its operations and strategic actions.",Spr,3,"; Piotroski, J. (PI); Woodhall, E. (GP)"
7,ACCT 317:,"Managerial Accounting: Performance Measurement, Compensation, and Governance","The course will examine the academic and professional controversies surrounding corporate governance and executive compensation. A basic framework will be developed to integrate the many important dimensions of corporate governance in the U.S. and international settings. The institutional features of corporate governance and executive compensation will be documented using the professional business and legal literatures. In addition, the scientific research in accounting, economics, finance, and organizational behavior will be used to provide insights into the measurement and consequences of observed corporate governance and executive compensation choices. After successfully finishing the course, a student should be able to (i) understand the debates about appropriate choices for corporate governance and executive compensation and (ii) critically evaluate the implications of academic and professional research studies on these controversial issues.",Spr,3,"; Epstein, E. (PI); Shaker, S. (GP)"
8,ACCT 332:,Mergers and Acquisitions,"This course provides a comprehensive overview of strategic, economic and financial issues related to mergers and acquisitions.  Specifically, we review the market for corporate control, discuss strategic issues related to firms' decision to acquire or be acquired, and examine the M&A regulatory environment.  We analyze various valuation and deal structure considerations, identify strategies that underlay a successful negotiation, and review the financial reporting and income tax implications of M&A transactions. In covering these and other related issues, we will discuss both the theory and practice of mergers and acquisitions. To provide some specific context we will analyze many large and small M&A deals. In discussing these cases, we will examine the situation faced by the company, the issues surrounding the transaction, including the financial implications, and focus on the managerial incentives and the judgment applied. Class time comprises mini lectures that introduce some of the more technical concepts, case discussions, and guest speakers who will offer additional perspectives on the subject matters. The course is co-taught by Ron Kasznik (GSB) and Safra Catz (Oracle Corporation). Ms. Catz is the CEO of Oracle Corporation and a member of its Board of Directors. She has led Oracle through more than 100 acquisitions in recent years (including PeopleSoft, Siebel, BEA, Sun Microsystems, and many more). Prior to joining Oracle in 1999, Ms. Catz was Managing Director at Donaldson, Lufkin & Jenrette, a global investment bank (now part of CSFB).  Ms. Catz also serves on the board of directors for Walt Disney.",Aut,3,"; Kasznik, R. (PI); Catz, S. (SI); Rivera, S. (GP)"
9,ACCT 340:,Alphanomics: Informational Arbitrage in Equity Markets,"This is an advanced elective course on the economics of active investing in public equity markets, with a focus on analyzing financial statement data. Specifically, the course material is designed to improve student skills in: (1) assessing the relative attractiveness of individual companies using financial statement analysis, (2) building stock screens to filter and rank firms based on real, up-to-date financial data for both long and short positions, and (3) monitoring and managing portfolio risk. There will be a number of individual cases and a final group project. 25% of the grade will be based on class participation, and 75% will be based on cases and a final project. There is no final exam. Because it is an advanced elective, students taking this class are expected to be well versed in the core economics, accounting, and finance skills.",Spr,3,"; Smith, K. (PI); Long, M. (GP)"
