"Country.Code","Country.Name","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","Spending1995","Spending1996","Spending1997","Spending1998","Spending1999","Spending2000","Spending2001","Spending2002","Spending2003","Spending2004","Spending2005","Spending2006","Spending2007","Spending2008","Spending2009","Spending2010","Spending2011","Spending2012","Spending2013","Region","IncomeGroup"
"ABW","Aruba",65.98802439,66.36553659,66.71397561,67.04429268,67.3697561,67.699,68.03468293,68.37714634,68.72841463,69.08614634,69.44609756,69.79865854,70.13965854,70.46529268,70.77780488,71.08082927,71.37770732,71.66978049,71.95285366,72.22014634,72.46234146,72.67319512,72.84902439,72.9897561,73.09797561,73.17936585,73.24270732,73.2962439,73.3444878,73.38997561,73.43312195,73.4717561,73.50531707,73.5357561,73.56360976,73.58943902,73.61480488,73.64229268,73.67539024,73.72060976,73.78290244,73.8652439,73.96856098,74.09085366,74.22807317,74.37570732,74.5262439,74.67421951,74.81614634,74.95202439,75.08039024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean","High income: nonOECD"
"AFG","Afghanistan",32.09597561,32.61187805,33.12731707,33.6412439,34.15368293,34.66312195,35.17007317,35.67202439,36.16997561,36.65943902,37.13941463,37.60887805,38.06934146,38.52329268,38.97026829,39.41073171,39.84770732,40.29068293,40.74817073,41.23365854,41.76063415,42.33560976,42.96304878,43.6444878,44.37990244,45.16880488,45.99721951,46.85014634,47.71158537,48.56704878,49.40456098,50.21312195,50.9852439,51.70939024,52.37507317,52.97278049,53.5084878,53.99219512,54.43287805,54.84856098,55.25621951,55.67187805,56.10756098,56.56973171,57.05843902,57.57065854,58.09136585,58.60709756,59.11234146,59.60009756,60.06536585,NA,NA,NA,NA,NA,NA,NA,15.80370424,19.85694356,21.51116885,23.31430901,25.16211067,33.16569259,38.28061081,38.49537496,47.87693003,53.58555953,57.70713719,54.96414784,"South Asia","Low income"
"AGO","Angola",33.38621951,33.78758537,34.18846341,34.59034146,34.99221951,35.39509756,35.79997561,36.20585366,36.6102439,37.01512195,37.42102439,37.82692683,38.22682927,38.61378049,38.97580488,39.301,39.58136585,39.81585366,40.00539024,40.1592439,40.28865854,40.408,40.5282439,40.65395122,40.77778049,40.8874878,40.97387805,41.03770732,41.08765854,41.13834146,41.20634146,41.31302439,41.47819512,41.7162439,42.05146341,42.50163415,43.06212195,43.71426829,44.439,45.20478049,45.97314634,46.71173171,47.39317073,48.0035122,48.53880488,49.00704878,49.43573171,49.84739024,50.25102439,50.65417073,51.05931707,20.32175598,18.05826968,27.37973011,23.08175434,18.716962,22.23033354,36.16068064,33.4846072,44.6218778,63.38667409,70.95815417,110.86413363,115.4560619,176.72336727,174.32924805,143.78246052,177.60022693,190.46236829,267.22429877,"Sub-Saharan Africa","Upper middle income"
"ALB","Albania",63.27346341,64.16285366,64.88709756,65.43819512,65.82739024,66.08931707,66.28721951,66.47495122,66.68160976,66.93258537,67.23887805,67.58595122,67.95795122,68.34834146,68.74121951,69.1155122,69.45617073,69.7542439,70.00965854,70.23597561,70.45446341,70.68512195,70.93739024,71.20653659,71.47121951,71.69756098,71.86195122,71.95329268,71.97858537,71.95731707,71.91841463,71.90080488,71.93585366,72.04195122,72.23602439,72.52741463,72.89809756,73.32658537,73.79339024,74.27207317,74.73421951,75.15795122,75.52936585,75.839,76.08939024,76.29053659,76.46485366,76.63231707,76.80187805,76.9785122,77.16321951,69.00303792,67.02745627,49.14586021,57.15239156,71.30405143,69.84439276,74.81051753,88.36823776,109.24600574,147.69542813,159.68798458,169.14866367,207.54029168,239.85629535,221.00618039,200.44179241,234.05685531,220.42872896,239.57709242,"Europe & Central Asia","Upper middle income"
"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1364.67336376,1477.91182462,1475.56498962,1882.97326584,1422.92668529,1318.12783804,1264.34238392,1438.78733723,1809.5240545,2092.63171158,2259.83660838,2569.39274692,3019.28018473,3114.59288721,2870.09534657,3185.53381657,3386.77229177,3413.94055459,2947.9641634,"Europe & Central Asia","High income: nonOECD"
"ARE","United Arab Emirates",53.28656098,54.327,55.3635122,56.39258537,57.40570732,58.39185366,59.34046341,60.24404878,61.09858537,61.90104878,62.65495122,63.36631707,64.04312195,64.68890244,65.30514634,65.89334146,66.454,66.98860976,67.49717073,67.98319512,68.44517073,68.88409756,69.3014878,69.69831707,70.07663415,70.43639024,70.77812195,71.10482927,71.418,71.72063415,72.0137561,72.29934146,72.57790244,72.85192683,73.12190244,73.38782927,73.64973171,73.90558537,74.15790244,74.40568293,74.64946341,74.88921951,75.1244878,75.35573171,75.58195122,75.80012195,76.01121951,76.2147561,76.41070732,76.59860976,76.781,738.64572957,732.20306662,751.51863872,721.10943898,722.89064258,753.44948918,819.43158958,925.67518284,976.68874219,994.81026603,1010.083754,1060.19819405,1104.81189377,1238.06097943,1204.5884672,1154.37234846,1224.6896951,1235.31061477,1568.9634407,"Middle East & North Africa","High income: nonOECD"
"ARG","Argentina",65.3385122,65.43260976,65.50939024,65.58241463,65.66868293,65.7822439,65.93002439,66.1134878,66.33509756,66.59082927,66.87312195,67.16795122,67.46531707,67.75865854,68.04795122,68.33670732,68.62943902,68.92663415,69.22431707,69.5144878,69.78665854,70.03531707,70.257,70.45419512,70.63139024,70.79907317,70.9677561,71.14590244,71.33753659,71.54365854,71.76329268,71.98895122,72.21565854,72.44139024,72.66460976,72.88531707,73.10397561,73.32007317,73.53412195,73.74565854,73.95368293,74.15878049,74.35995122,74.55773171,74.75165854,74.94121951,75.12690244,75.30819512,75.48709756,75.66356098,75.83860976,615.80280584,619.53635779,686.43080924,707.04044905,726.75858857,709.86235505,676.22865298,225.46454735,280.42035864,327.29967572,394.83764058,453.70440593,547.99230332,685.8287279,725.74016413,754.17956548,869.87758581,994.29325558,1074.06694388,"Latin America & Caribbean","High income: nonOECD"
"ARM","Armenia",66.28439024,66.70985366,67.13785366,67.56541463,67.99153659,68.41473171,68.8304878,69.22926829,69.60004878,69.92426829,70.18287805,70.36734146,70.47965854,70.52634146,70.53192683,70.52941463,70.54290244,70.58297561,70.64126829,70.68453659,70.66160976,70.5355122,70.29014634,69.93568293,69.5,69.02429268,68.56756098,68.18209756,67.8995122,67.74780488,67.73829268,67.85334146,68.06956098,68.37665854,68.76356098,69.21685366,69.71641463,70.24021951,70.76709756,71.27653659,71.75565854,72.2022439,72.61097561,72.97492683,73.28856098,73.54982927,73.76463415,73.94387805,74.09304878,74.21965854,74.33219512,25.62249443,29.14083557,30.12181086,34.98812191,33.89211786,38.82927307,41.12761409,41.99431803,51.5155733,65.49781976,86.10079034,98.19963503,133.98130063,149.25966435,132.42585757,143.06442355,127.17149542,150.39555738,158.62155694,"Europe & Central Asia","Lower middle income"
"ASM","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East Asia & Pacific","Upper middle income"
"ATG","Antigua and Barbuda",62.19541463,62.59853659,62.99258537,63.37858537,63.75607317,64.12556098,64.48807317,64.84212195,65.18919512,65.52934146,65.86202439,66.18826829,66.508,66.82178049,67.13007317,67.43339024,67.7307561,68.02263415,68.30953659,68.59197561,68.86895122,69.14092683,69.40792683,69.67046341,69.9285122,70.18256098,70.43263415,70.67973171,70.92282927,71.16295122,71.40058537,71.63470732,71.86585366,72.093,72.31768293,72.53885366,72.75756098,72.97378049,73.18602439,73.39729268,73.60607317,73.81339024,74.01921951,74.22204878,74.42185366,74.61609756,74.80478049,74.98687805,75.16241463,75.33390244,75.50036585,355.65105307,359.13919214,375.84993393,388.88006763,403.164374,419.50881721,442.90796337,435.05086076,456.49276721,468.38948669,538.01324283,590.25861154,662.43463197,747.16463841,685.1045642,733.80836415,723.59460343,726.92852485,665.26009895,"Latin America & Caribbean","High income: nonOECD"
"AUS","Australia",70.97317073,70.94243902,70.91170732,70.88097561,70.8502439,70.8195122,70.86926829,70.91902439,70.96878049,71.01853659,71.06829268,71.45756098,71.84682927,72.23609756,72.62536585,73.01463415,73.34439024,73.67414634,74.00390244,74.33365854,74.66341463,74.90487805,75.14634146,75.38780488,75.62926829,75.87073171,76.15170732,76.43268293,76.71365854,76.99463415,77.27560976,77.37804878,77.87804878,77.87804878,77.82926829,78.07804878,78.4804878,78.63170732,78.93170732,79.23414634,79.63414634,79.93658537,80.23902439,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.84634146,1570.8792508,1767.9821664,1765.14506286,1588.68406476,1745.3620587,1713.58969132,1635.6124197,1851.92248607,2329.51592022,2876.43407953,3139.67593313,3331.12151804,3959.18546478,4282.25234037,4148.25182936,5196.54355737,6209.20719141,6392.93478645,6109.82281865,"East Asia & Pacific","High income: OECD"
"AUT","Austria",69.57731707,69.3095122,69.44365854,69.92195122,69.72219512,70.04585366,69.91780488,70.05756098,69.83317073,69.89073171,70.06926829,70.41365854,70.97926829,70.96243902,71.08414634,71.55121951,71.89536585,71.96707317,72.28731707,72.42365854,72.75804878,72.89707317,72.96853659,73.52756098,73.74512195,74.22292683,74.66926829,75.14414634,75.24804878,75.53,75.56780488,75.85536585,76.10634146,76.45707317,76.71560976,76.98365854,77.38756098,77.57317073,77.77560976,78.02682927,78.52682927,78.67804878,78.63170732,79.1804878,79.33170732,79.83170732,79.98292683,80.23414634,80.08292683,80.38292683,81.03170732,2877.99882981,2813.20272146,2560.59472802,2668.64925474,2701.77903697,2406.13155213,2412.37395587,2605.54605819,3230.17155918,3732.65001952,3874.56675232,4022.62441745,4646.89688504,5229.916762,5142.45689527,5033.42233611,5400.53826709,5205.97191344,5427.26014217,"Europe & Central Asia","High income: OECD"
"AZE","Azerbaijan",61.23917073,61.64458537,62.052,62.45741463,62.86182927,63.26726829,63.66873171,64.05670732,64.41868293,64.73460976,64.98143902,65.14812195,65.23417073,65.24358537,65.18743902,65.08229268,64.95321951,64.8287561,64.72795122,64.68131707,64.71643902,64.83073171,65.00809756,65.22590244,65.42778049,65.54134146,65.52592683,65.36914634,65.08926829,64.74636585,64.42414634,64.2072439,64.15402439,64.28158537,64.57582927,64.994,65.46239024,65.92336585,66.3554878,66.7582439,67.15029268,67.56107317,68.00368293,68.47019512,68.93726829,69.37473171,69.756,70.06292683,70.29265854,70.45029268,70.55129268,18.01915735,24.77843538,27.26668815,30.26793414,30.49569874,30.29752578,31.17018839,33.62020977,57.04929995,81.26678363,121.89082055,149.68129133,192.23605425,241.31392332,288.35058899,310.32538288,359.23378272,401.75125829,436.02277781,"Europe & Central Asia","Upper middle income"
