"DATE","HOUR_MIN","DEMAND","Max.TemperatureF","Mean.TemperatureF","Min.TemperatureF","Max.Dew.PointF","MeanDew.PointF","Min.DewpointF","Max.Humidity","Mean.Humidity","Min.Humidity","Max.Sea.Level.PressureIn","Mean.Sea.Level.PressureIn","Min.Sea.Level.PressureIn","Max.Wind.SpeedMPH","Mean.Wind.SpeedMPH","PrecipitationIn","Events","WindDirDegrees.br."
2005-03-01,"6:30",1,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"6:45",2,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"7:00",4,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"7:15",0,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"7:30",10,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"7:45",13,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"8:00",18,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"8:15",19,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"8:30",23,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"8:45",13,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"9:00",14,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"9:15",14,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"9:30",28,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"9:45",20,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"10:00",17,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"10:15",27,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"10:30",15,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"10:45",31,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"11:00",29,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"11:15",25,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"11:30",33,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"11:45",40,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"12:00",36,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"12:15",49,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"12:30",43,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"12:45",47,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"13:00",43,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"13:15",51,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"13:30",38,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"13:45",34,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"14:00",47,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"14:15",45,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"14:30",35,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"14:45",34,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"15:00",31,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"15:15",37,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"15:30",32,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"15:45",32,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"16:00",45,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"16:15",28,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"16:30",40,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"16:45",27,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"17:00",41,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"17:15",44,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"17:30",50,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"17:45",44,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"18:00",50,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"18:15",62,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"18:30",62,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"18:45",69,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"19:00",98,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"19:15",82,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"19:30",66,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"19:45",60,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"20:00",79,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"20:15",60,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"20:30",46,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"20:45",36,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"21:00",27,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"21:15",26,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"21:30",24,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"21:45",12,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-01,"22:00",8,77,68,60,57,55,54,88,67,47,30.09,30.05,30.04,10,6,0,"",163
2005-03-02,"6:30",4,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"6:45",3,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"7:00",2,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"7:15",3,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"7:30",10,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"7:45",13,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"8:00",9,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"8:15",16,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"8:30",21,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"8:45",20,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"9:00",12,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"9:15",19,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"9:30",26,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"9:45",18,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"10:00",15,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"10:15",18,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"10:30",33,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"10:45",38,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"11:00",32,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"11:15",32,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"11:30",28,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"11:45",24,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"12:00",41,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"12:15",35,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"12:30",43,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"12:45",41,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"13:00",40,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"13:15",41,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"13:30",44,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"13:45",50,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"14:00",48,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"14:15",56,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"14:30",42,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"14:45",36,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"15:00",33,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"15:15",25,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"15:30",30,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"15:45",31,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"16:00",30,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"16:15",20,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"16:30",33,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"16:45",27,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"17:00",33,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"17:15",39,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"17:30",42,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"17:45",50,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"18:00",54,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"18:15",76,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"18:30",84,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"18:45",79,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"19:00",75,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"19:15",75,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"19:30",65,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"19:45",71,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"20:00",46,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"20:15",43,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"20:30",41,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"20:45",30,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"21:00",31,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"21:15",31,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"21:30",29,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"21:45",12,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-02,"22:00",9,87,69,51,55,52,43,94,60,21,30.09,30.01,29.92,16,6,0,"",151
2005-03-03,"6:30",2,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"6:45",2,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"7:00",7,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"7:15",4,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"7:30",11,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"7:45",6,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"8:00",17,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"8:15",15,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"8:30",24,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"8:45",11,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"9:00",15,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"9:15",18,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"9:30",20,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"9:45",19,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"10:00",26,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"10:15",25,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"10:30",33,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"10:45",18,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"11:00",23,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"11:15",33,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"11:30",35,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"11:45",39,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"12:00",45,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"12:15",36,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"12:30",37,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"12:45",49,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"13:00",48,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"13:15",45,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"13:30",45,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"13:45",48,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"14:00",54,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"14:15",35,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"14:30",27,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"14:45",30,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"15:00",26,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"15:15",30,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"15:30",30,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"15:45",24,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"16:00",22,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"16:15",19,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"16:30",27,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"16:45",24,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"17:00",33,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"17:15",39,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"17:30",30,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"17:45",48,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"18:00",45,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"18:15",77,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"18:30",87,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"18:45",87,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"19:00",61,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"19:15",69,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"19:30",81,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"19:45",68,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"20:00",54,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"20:15",38,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"20:30",39,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"20:45",35,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"21:00",21,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"21:15",28,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"21:30",15,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"21:45",11,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
2005-03-03,"22:00",3,91,74,57,54,51,48,77,51,23,30.01,29.92,29.89,23,6,0,"",179
